batch_size;num_workers;z_size;lr;beta1;beta2;latent_size
128;0;128;1,00e-003;0,1;0,99;512
128;0;128;0,0001;0,25;0,75;256
128;0;128;1e-05;0,5;0,5;1024
128;0;128;1e-06;0,75;0,25;2048
128;0;128;1e-08;0,99;0,1;512
128;0;128;1,00e-003;0,99;0,1;256
128;0;128;0,0001;0,75;0,25;1024
128;0;128;1e-05;0,5;0,5;2048
128;0;128;1e-06;0,25;0,75;512
128;0;128;1e-08;0,1;0,99;256
128;0;128;1,00e-003;0,1;0,99;1024
128;0;128;0,0001;0,25;0,75;2048
128;0;128;1e-05;0,5;0,5;512
128;0;128;1e-06;0,75;0,25;256
128;0;128;1e-08;0,99;0,1;1024
128;0;128;1,00e-003;0,99;0,1;2048
128;0;128;0,0001;0,75;0,25;512
128;0;128;1e-05;0,5;0,5;256
128;0;128;1e-06;0,25;0,75;1024
128;0;128;1e-08;0,1;0,99;2048
128;0;128;1,00e-003;0,1;0,99;512
128;0;128;0,0001;0,25;0,75;256
128;0;128;1e-05;0,5;0,5;1024
128;0;128;1e-06;0,75;0,25;2048
128;0;128;1e-08;0,99;0,1;512
128;0;256;1,00e-003;0,99;0,1;256
128;0;256;0,0001;0,75;0,25;1024
128;0;256;1e-05;0,5;0,5;2048
128;0;256;1e-06;0,25;0,75;512
128;0;256;1e-08;0,1;0,99;256
128;0;256;1,00e-003;0,1;0,99;1024
128;0;256;0,0001;0,25;0,75;2048
128;0;256;1e-05;0,5;0,5;512
128;0;256;1e-06;0,75;0,25;256
128;0;256;1e-08;0,99;0,1;1024
128;0;256;1,00e-003;0,99;0,1;2048
128;0;256;0,0001;0,75;0,25;512
128;0;256;1e-05;0,5;0,5;256
128;0;256;1e-06;0,25;0,75;1024
128;0;256;1e-08;0,1;0,99;2048
128;0;256;1,00e-003;0,1;0,99;512
128;0;256;0,0001;0,25;0,75;256
128;0;256;1e-05;0,5;0,5;1024
128;0;256;1e-06;0,75;0,25;2048
128;0;256;1e-08;0,99;0,1;512
128;0;256;1,00e-003;0,99;0,1;256
128;0;256;0,0001;0,75;0,25;1024
128;0;256;1e-05;0,5;0,5;2048
128;0;256;1e-06;0,25;0,75;512
128;0;256;1e-08;0,1;0,99;256
128;0;64;1,00e-003;0,1;0,99;1024
128;0;64;0,0001;0,25;0,75;2048
128;0;64;1e-05;0,5;0,5;512
128;0;64;1e-06;0,75;0,25;256
128;0;64;1e-08;0,99;0,1;1024
128;0;64;1,00e-003;0,99;0,1;2048
128;0;64;0,0001;0,75;0,25;512
128;0;64;1e-05;0,5;0,5;256
128;0;64;1e-06;0,25;0,75;1024
128;0;64;1e-08;0,1;0,99;2048
128;0;64;1,00e-003;0,1;0,99;512
128;0;64;0,0001;0,25;0,75;256
128;0;64;1e-05;0,5;0,5;1024
128;0;64;1e-06;0,75;0,25;2048
128;0;64;1e-08;0,99;0,1;512
128;0;64;1,00e-003;0,99;0,1;256
128;0;64;0,0001;0,75;0,25;1024
128;0;64;1e-05;0,5;0,5;2048
128;0;64;1e-06;0,25;0,75;512
128;0;64;1e-08;0,1;0,99;256
128;0;64;1,00e-003;0,1;0,99;1024
128;0;64;0,0001;0,25;0,75;2048
128;0;64;1e-05;0,5;0,5;512
128;0;64;1e-06;0,75;0,25;256
128;0;64;1e-08;0,99;0,1;1024
128;0;100;1,00e-003;0,99;0,1;2048
128;0;100;0,0001;0,75;0,25;512
128;0;100;1e-05;0,5;0,5;256
128;0;100;1e-06;0,25;0,75;1024
128;0;100;1e-08;0,1;0,99;2048
128;0;100;1,00e-003;0,1;0,99;512
128;0;100;0,0001;0,25;0,75;256
128;0;100;1e-05;0,5;0,5;1024
128;0;100;1e-06;0,75;0,25;2048
128;0;100;1e-08;0,99;0,1;512
128;0;100;1,00e-003;0,99;0,1;256
128;0;100;0,0001;0,75;0,25;1024
128;0;100;1e-05;0,5;0,5;2048
128;0;100;1e-06;0,25;0,75;512
128;0;100;1e-08;0,1;0,99;256
128;0;100;1,00e-003;0,1;0,99;1024
128;0;100;0,0001;0,25;0,75;2048
128;0;100;1e-05;0,5;0,5;512
128;0;100;1e-06;0,75;0,25;256
128;0;100;1e-08;0,99;0,1;1024
128;0;100;1,00e-003;0,99;0,1;2048
128;0;100;0,0001;0,75;0,25;512
128;0;100;1e-05;0,5;0,5;256
128;0;100;1e-06;0,25;0,75;1024
128;0;100;1e-08;0,1;0,99;2048
